,Topic,,,Article,,,
,Series Level 1,Series Level 2,Series Level 3,,URL*,,
01,Making & Multiplying Disciples Newsletter,,,,,,
02,Total Life Discipleship,,,,,,
,,,,1. What Is Total Life Discipleship,30101-01-what-is-total-life-discipleship,,
,,,,2. God's Vision,30101-02-gods-vision-of-you,,
,,,,3. Personal Transformation,30101-03-personal-transformation,,
,,,,4. Eternal Impact,30101-04-created-for-eternal-impact,,
,,,,5. Kingdom Maturity,30101-05-kingdom-maturity,,
,,,,6. Kingdom Faith,30101-06-kingdom-faith,,
,,,,7. Kingdom Power (Be Filled with the Holy Spirit),30101-07-kingdom-power-be-filled-with-the-holy-spirit,,
,,,,8. Kingdom Power (Walk in the Spirit),30101-08-kingdom-power-walk-in-the-spirit,,
,,,,9. Kingdom Prayer (Topics),30101-09-kingdom-prayer-topics,,
,,,,10. Kingdom Prayer (Building Blocks),30101-10-kingdom-prayer-building-blocks,,
,,,,11. Kingdom Promises,30101-11-kingdom-promises,,
,,,,12. Kingdom Authority,30101-12-kingdom-authority,,
03,Become a Growing Church,,,,,,
,,,,1. God's Unique Vision for Kingdom-focused Growth,,,
,,,,2. JesusOnline EQUIPPED Church,,,
,,,,3. Total Life Discipleship Church,,,
,,,,4. Transformational Teaching Church,,,
,,,,5. Spirit-dependent Church,,,
,,,,6. Hope-filled Church,,,
,,,,7. Love-demonstrating Relational Church,,,
,,,,8. Intentional Worship Church,,,
,,,,9. Great Commission Church,,,
,,,,10. Online Outreach Church,,,
,,,,11. Attractive Church,,,
,,,,12. Inviting Church,,,
,,,,13. Model/Exammple Church,,,
04,Share Jesus,,,,,,
,,04.1 Understanding Evangelism,,,,,
,,,,1. What Is Evangelism?,,40101-what-is-evangelism,
,,,,2. Reasons Why Believers Should Witness,,40102-reasons-why-believers-should-witness,
,,,,3. Why Christians Fail to Witness,,40103-why-christians-fail-to-witness,
,,,,4. The Importance of Scripture,,40104-the-importance-of-scripture-in-evangelism,
,,,,5. Evangelism Is A Process,,41105-evangelism-is-a-process,
,,,,6. Digital Evangelism,,40106-digital-evangelism,
,,,,7. Answering Questions,,40107-answering-questions,
,,04.2 Sharing Your Faith,,,,,
,,,,1. The Power,,41005-the-power,
,,,,2. Your Personal Testimony,,41006-your-personal-testimony,
,,,,3. Attitudes and Approaches,,41007-attitudes-and-approaches,
,,,,4. Asking Questions Using  Conversations,,41008-asking-questions-using-conversations,
,,,,5. Articulating the Gospel,,41010-articulating-the-gospel,
,,,,6. Answering Objections,,41013-answering-objections,
,,,,7. Answering Specific Objections,,41014-answering-specific-objections,
,,04.3 Next Steps for New Believers,,,,,
,,,,1. Next Steps for New Believers,,43001-next-steps-for-new-believers,
,,,,2. Your First Step,,43002-your-first-step,
,,,,3. Assurance of Your Salvation,,43003-assurance-of-your-salvation,
,,,,4. Embrace Your New Identity,,43004-embrace-your-new-identity,
,,,,5. Accept God’s Love,,43005-accept-gods-love,
,,,,6. Depend on the Spirit,,43006-depend-on-the-spirit,
,,,,7. Enjoy God’s Family,,43007-enjoy-gods-family,
,,,,8. Discover God’s Plan for You,,43008-discover-gods-plan-for-you,
05,Sermon Toolbox,,,,,,
,,Bible Study Tools,,,,Article in the shared OneDrive folder ,
06,Bible Mastery,,,,,,
,,06.1 Bible Study Methods,,,,,
,,,,1. Inductive Bible Study Method,,Article in the shared OneDrive folder ,
,,,,2. S.O.A.P. Method,,Article in the shared OneDrive folder ,
,,,,3. Topical/Thematic Bible Study Method,,Article in the shared OneDrive folder ,
,,,,4. R.E.C.A.P. Method,,Article in the shared OneDrive folder ,
,,06.2 Online Bible Training (Joshua Nations),,,,,
,,,06.2.1 Year 1,,,,
,,,,1. JN101 | Bible Doctrine,https://joshuanations.org/lessons/jn101-bible-doctrine,,
,,,,2. JN102 | Doctrine of God the Father,https://joshuanations.org/lessons/jn102-doctrine-of-god-the-father,,
,,,,3. JN103 | Doctrine of the Son,https://joshuanations.org/lessons/doctrine-of-the-father,,
,,,,4. JN104 | Doctrine of God the Spirit / The Person of the Holy Spirit and the Trinity,https://joshuanations.org/lessons/doctrine-of-god-the-spirit-the-person-of-the-holy-spirit-and-the-trinity,,
,,,,5. JN105 | The Holy Spirit and the Life of a Believer,https://joshuanations.org/lessons/jn105-the-holy-spirit-and-the-life-of-a-believer,,
,,,,6. JN106 | Angels and Demons,https://joshuanations.org/lessons/lesson-06-angels-and-demons,,
,,,,7. JN107 | Man and Sin,https://joshuanations.org/lessons/jn107-man-and-demons,,
,,,,8. JN108 | Covenants and Salvation,https://joshuanations.org/lessons/jn108-covenants-and-salvation,,
,,,,9. JN109 | The Church,https://joshuanations.org/lessons/jn109-the-church,,
,,,,10. JN110 | The End Times,https://joshuanations.org/lessons/jn110-the-end-time,,
,,,,11. JN111 | Old Testament Survey,https://joshuanations.org/lessons/jn111-old-testament-survey,,
,,,,12. JN112 | New Testament Survey,https://joshuanations.org/lessons/jn112-new-testament-survey-2,,
,,,,13. JN113 |  Faith,https://joshuanations.org/lessons/jn113-faith,,
,,,,14. JN114 | Prayer,https://joshuanations.org/lessons/jn114-prayer,,
,,,,15. JN115 |  Evangelism and Missions,https://joshuanations.org/lessons/jn115-evangelism,,
,,,,16. JN116 | Discipleship,https://joshuanations.org/lessons/jn116-discipleship,,
,,,,17. JN117 | Biblical Prosperity and Stewardship,https://joshuanations.org/lessons/jn117-stewardship,,
,,,06.2.2 Year 2,,,,
,,,,1. JN201 | The Roles within the Family,https://joshuanations.org/lessons/jn201-the-roles-within-the-family,,
,,,,2. JN202 | Raising Spiritual Champions,https://joshuanations.org/lessons/jn202-raising-spiritual-champions,,
,,,,3. JN203 | The Five-Fold Ministry,https://joshuanations.org/lessons/jn203-the-five-fold-ministry,,
,,,,4. JN204 | Church Planting (part 1),https://joshuanations.org/lessons/jn204-church-planting-part-1,,
,,,,5. JN205 | Church Planting (part 2),https://joshuanations.org/lessons/jn205-church-planting-part-2,,
,,,,6. JN206 | Marketplace Ministry (part 1),https://joshuanations.org/lessons/jn206-marketplace-ministry-part-1,,
,,,,7. JN207 | Marketplace Ministry (part 2),https://joshuanations.org/lessons/jn207-marketplace-ministry-part-2,,
,,,,8. JN208 | Preaching Ministry,https://joshuanations.org/lessons/jn208-preaching-ministry,,
,,,,9. JN209 | The Sacraments of the Church,https://joshuanations.org/lessons/jn209-the-sacraments-of-the-church,,
,,,,10. JN120 | People Skills,https://joshuanations.org/lessons/jn210-people-skills,,
,,,,11. JN211 | Managing Ministry,https://joshuanations.org/lessons/jn211-managing-ministry,,
,,,,12. JN212 | Social Justice and Adoption,https://joshuanations.org/lessons/jn212-lesson-12-social-justice-and-adoption,,
,,,,13. JN213 | Leadership,https://joshuanations.org/lessons/jn213-leadership,,
,,,,14. JN214 | Developing a Vision,https://joshuanations.org/lessons/jn214-developing-a-vision,,
,,,,15. JN215 | Delegation,https://joshuanations.org/lessons/jn215-delegation,,
,,,,16. JN216 | Spiritual Growth Disciplines,https://joshuanations.org/lessons/jn216-spiritual-growth-disciplines,,
,,,,17. JN217 | Identity in Christ,http://joshuanations.org/lessons/jn217-identity-in-christ,,
,,,,18. JN218 | Hearing the Voice of God,https://joshuanations.org/lessons/jn218-hearing-the-voice-of-god,,
,,,,19. JN219 | God's Heart for Israel,https://joshuanations.org/lessons/jn219-gods-heart-for-israel,,
,,06.3 Survey of the Bible (Joshua Nations),,,,,
,,,06.3.1 Old Tesatament Survey,,,,
,,,,Old Testament Introduction,93651-old-tesatament-introduction,,
,,,,Genesis,93651-1-genesis,,
,,,,Exodus,93651-2-exodus,,
,,,,Leviticus,93651-3-leviticus,,
,,,,Numbers,93651-4-numbers,,
,,,,Deuteronomy,93651-5-deuteronomy,,
,,,,Joshua,93651-6-joshua,,
,,,,Judges,93651-7-judges,,
,,,,Ruth,93651-8-ruth,,
,,,,1 Samuel,93651-9-1-samuel,,
,,,,2 Samuel,93652-0-2-samuel,,
,,,,1 Kings,93652-1-1-kings,,
