TOPIC,,,,,,,URL,,,
LEVEL 1,,LEVEL 2,,LEVEL 3,,,https://app.jesusonline.com/post/,,,
01,The Adventure of Living with Jesus (Basic Discipleship),,,,,,,,,
02,New Life in Christ (Intermediate Discipleship),,,,,,,,,
03,Laying a Solid Foundation,,,,,,,,,
04,Building Blocks for Maturity,,,,,,,,,
,,04.1,Seeing Your Life from God's Perspective,,,,,,,
,,,,,,Seeing the Truth,,,,
,,,,,,Perspective and Perception,,,,
,,,,,,The Truth Cycle,,,,
,,,,,,Your Relationships from God's Perspective,,,,
,,,,,,Your Situation from God's Perpsective,,,,
,,04.2,Growing Closer to God,,,,,,,
,,,,04.2.1,Your Relationship with God,,,,,
,,,,,,"Our Triune God: Father, Son, and Holy Spirit",32211-our-triune-god-father-son-and-holy-spirit,,,
,,,,,,God Loves You Forever,32212-god-loves-you-forever,,,
,,,,,,Experiencing God’s Love,32213-experiencing-gods-love,,,
,,,,,,A Trust Relationship,32214-a-trust-relationship,,,
,,,,,,A Heart for God,32215-a-heart-for-god,,,
,,,,04.2.2,Barriers to Knowing God Intimately,,,,,
,,,,,,Unconfessed Sin and an Unrepentant Heart,32261-unconfessed-sin-and-an-unrepentant-heart,,,
,,,,,,nsufficient Vision,32262-insufficient-vision,,,
,,,,,,Lack of Belief,32263-lack-of-belief,,,
,,,,,,Preoccupied with Distractions,32264-preoccupied-with-distractions,,,
,,,,,,Spiritual Warfare,32265-spiritual-warfare,,,
,,,,,,Involvement in Idolatry,32266-involvement-in-idolatry,,,
,,,,04.2.3,Habits for Greater Intimacy with God,,,,,
,,,,,,Cultive 7 Habits,32270-duty-discipline-delight,,,
,,,,,,Habit 1. Desire God,32271-habit-1-desire-god,,,
,,,,,,Habit 2. Pursue God,32272-habit-2-pursue-god,,,
,,,,,,Habit 3. Know God,32273-habit-3-know-god,,,
,,,,,,Habit 4. Love God,32274-habit-4-love-god,,,
,,,,,,Habit 5. Fear God,32275-habit-5-fear-god,,,
,,,,,,Habit 6. Trust God,32276-habit-6-trust-god,,,
,,,,,,Habit 7. Enjoy God,32277-habit-7-enjoy-god,,,
,,,,04.2.4,God’s Majestic Qualities,,,,,
,,,,,,God's Self-Portrait,32281-gods-self-portrait,,,
,,,,,,God is Sovereign: The Supreme Authority in All the Universe,32282-god-is-sovereign,,,
,,,,,,God is Holy: The Supreme Standard of Moral Righteousness,32283-god-is-holy,,,
,,,,,,God is Good: The Supreme Bestower of Blessings,32284-god-is-good,,,
,,,,,,God is Incomprehensible: The Supreme Being of Absolute Preeminence,32285-god-is-incomprehensible,,,
,,,,04.2.5,God’s Special Names for Special Purposes,,,,,
,,,,,,Jehovah,32291-jehovah,,,
,,,,,,El,32292-el,,,
,,,,,,Names of Jesus,32293-names-of-jesus,,,
,,04.3,Becoming the New You,,,,,,,
,,,,,,Embracing Your New Identity in Christ,,,,
,,,,,,What the Bible Says About the New You,,,,
,,,,,,"Your New Identity, Overview",,,,
,,,,,,A CHILD of God,,,,
,,,,,,A SAINT with a new nature,,,,
,,,,,,A MEMBER of the Body of Christ,,,,
,,,,,,A CITIZEN of God’s Kingdom,,,,
,,04.4,Walking by the Spirit,,,,,,,
,,,,,,"Freedom, Peace, Joy, Victory",32410-freedom-peace-joy-victory,,,
,,,,,,The Exchanged Life,32420-the-exchanged-life,,,
,,,,,,The Exchanged Mindset,32430-the-exchanged-mindset,,,
,,,,04.4.4,Power for Supernatural Living,,,,,
,,,,,,Depend on God for His Power,32441-depend-on-god-for-his-power,,,
,,,,,,Three Power Principles,32442-three-power-principles,,,
,,,,,,Empowered by the Holy Spirit,32443-empowered-by-the-holy-spirit,,,
,,,,,,Empowerred by Your New Identity,32444-empowered-by-your-new-identity,,,
,,,,,,Empowered by His Presence,32445-empowered-by-his-presence,,,
,,,,,,Empowered by Supernatural Peace,32446-empowered-by-supernatural-peace,,,
,,,,04.4.5,"Walking with God, in Christ, by the Spirit",,,,,
,,,,,,"Father, Jesus, the Holy Spirit and You",32451-father-jesus-the-holy-spirit-and-you,,,
,,,,,,Submit to the Father,32452-submit-to-god-the-father,,,
,,,,,,Abide in Jesus Christ,32453-abide-in-jesus-christ,,,
,,,,,,Be Filled with the Holy Spirit,32454-be-filled-with-the-holy-spirit,,,
,,,,,,How to Be Filled with the Holy Spirit,32455-how-to-be-filled-with-the-holy-spirit,,,
,,,,,,Live in Harmony with God,32456-live-in-harmony-with-god,,,
,,,Receiving Insights from God,,,,,,,
,,,,,,Insights from God,,,,
,,,,,,God’s Word,,,,
,,,,,,Renewing Your Mind,,,,
,,,,,,Filling Your Mind with God's Truth,,,,
,,,,,,Applying God's Insights,,,,
,,,,,,Reading God's Word,,,,
,,,,,,Hearing God's Word,,,,
,,,,,,Studying God's Word,,,,
,,,,,,Memorizing God's Word,,,,
,,,,,,Meditating on God's Word,,,,
,,,,,,Christ's Incarnation,,,,
,,,,,,Divine Flashes of Insight,,,,
,,,,,,Spirit-Inspired People,,,,
,,,,,,Parallel Examples,,,,
,,,,,,Visions and Dreams,,,,
,,,Obeying God Faithfully,,,,,,,
,,,,,,Obeying God Faithfully,,,,
,,,,,,Obeying to Get a Blessing,,,,
,,,,,,Obeying to Fulfill Duty,,,,
,,,,,,Obeying to Avoid Punishment,,,,
,,,,,,Obeying to Demonstrate Love,,,,
,,,,,,It's Your Choice,,,,
,,,,,,Choose Wisely,,,,
,,,Living as God's Family,,,,,,,
,,,,,Conneting with God's Family,,32611-connecting-with-gods-family,,,
,,,,,Why Church?,,32612-why-church,,,
,,,,,Finding a Church,,32621-finding-a-church,,,
,,,,,Discernment in Finding a Church,,32622-discernment-in-finding-a-church,,,
,,,,,A Practical Guide for Finding a Church,,32623-a-practical-guide-for-finding-a-church,,,
,,,,,One Another,,,,,
,,,,,,Being the Church to One Another,32631-being-the-church-to-one-another,,,
,,,,,,"Encourage, Instruct, and Spur On One Another",32632-encourage-instruct-and-spur-on-one-another,,,
,,,,,,Love One Another,32633-love-one-another,,,
,,,,,,Live in Harmony and Be Humble Toward One Another,32634-live-in-harmony-and-be-humble-toward-one-another,,,
,,,,,,Be Joyful and Demonstrate Sacrificial Love,32635-be-joyful-and-demonstrate-sacrificial-love,,,
,,,,,,Forgive One Another,32636-forgive-one-another,,,
,,,Reaching the World,,,,,,,
,,,,,Advancing Christ's Kingdom,,32711-advancing-christs-kingdom,,,
,,,,,The Kingdom of God,,32712-the-kingdom-of-god,,,
,,,,,Proclaiming the Gospel,,32713-proclaiming-the-gospel,,,
,,,,,God’s Call,,,,,
,,,,,,My Place in the Story,32721-my-place-in-the-story,,,
,,,,,,God’s Call for Everyone,32722-gods-call-for-everyone,,,
,,,,,,God’s Call for Me: Vocation,32723-gods-call-for-me-vocation,,,
,,,,,,God’s Call for Me: Tasks and Responsibilities,32724-gods-call-for-me-tasks-and-responsibilities,,,
,,,,,,God’s Call to Reach Out,32725-gods-call-to-reach-out,,,
,,,,,,God’s Call to Love Others,32726-gods-call-to-love-others,,,
,,,,,,God’s Call to Pursure Justice,32727-gods-call-to-pursue-justice,,,
,,,Resisting the Enemy,,,,,,,
,,,,,Standing Firm in Christ,,32811-standing-firm-in-christ,,,
,,,,,Resisting False Identity,,32812-resisting-false-identity,,,
,,,,,Resisting Isolation,,32813-resisting-isolation,,,
,,,,,Resisting Satanic Condemation,,32814-resisting-satanic-condemnation,,,
