Broken Link,Problem,Found On (EQUIP page)
http://navigatorsdetroit.com/MHCH.pdf,404 Not Found,https://equip.jesusonline.com/channels/growth/new-life-christ/who-is-the-holy-spirit
http://robertwells.tripod.com/godislove.html,Domain no longer resolves (DNS failure),https://equip.jesusonline.com/channels/growth/new-life-christ/gods-great-love-for-you
http://www.godandscience.org/youngearth/genesis.html,404 Not Found,https://equip.jesusonline.com/channels/evidence/reliability-of-the-bible/is-the-bible-true
http://www.intervarsity.org/studentsoul/item/was-jesus-real,404 Not Found (page moved/removed),https://equip.jesusonline.com/channels/evidence/jesus-true-identity/was-jesus-a-real-person
http://www.jewsforjesus.org/publications/issues/v02-n05/isaiah53,404 Not Found (page moved/removed),https://equip.jesusonline.com/channels/evidence/reliability-of-the-bible/did-the-old-testament-accurately-predict-jesus-as-the-messiah
http://www.jewsforjesus.org/publications/issues/v02-n05/isaiah53,404 Not Found (page moved/removed),https://equip.jesusonline.com/channels/evidence/reliability-of-the-bible/is-the-bible-true
http://www.msnbc.msn.com/id/44347890/ns/technology_and_science-science/t/ancient-bone-box-might-point-biblical-home-caiaphas/,400 Bad Request (msnbc.msn.com retired),https://equip.jesusonline.com/channels/evidence/jesus-true-identity/was-jesus-a-real-person
http://www.msnbc.msn.com/id/44347890/ns/technology_and_science-science/t/ancient-bone-box-might-point-biblical-home-caiaphas/,400 Bad Request (msnbc.msn.com retired),https://equip.jesusonline.com/channels/evidence/reliability-of-the-bible/is-the-bible-true
http://www.why-the-bible.com/bible.htm,Domain no longer resolves (DNS failure),https://equip.jesusonline.com/channels/evidence/reliability-of-the-bible/does-the-bible-demonstrate-divine-authorship
https://www.msnbc.msn.com/id/44347890/ns/technology_and_science-science/t/ancient-bone-box-might-point-biblical-home-caiaphas/,SSL certificate invalid (msnbc.msn.com retired),https://equip.jesusonline.com/channels/evidence/jesus-true-identity/was-jesus-a-real-person
